Brand,Data_2020,Data_2021,Change
Dodge Charger,77.425,78.389,1%
BMW 5-series,26.785,24.523,-8%
Mercedes-Benz E-class / CLS,25.499,20.947,-18%
Toyota Avalon,18.421,19.460,6%
Chrysler 300,16.653,16.662,0%
